date,item,category,price,promotion,units_sold,sales_7d_avg,day_of_week,is_weekend,is_holiday,brand,discount,stock_available,stockout_flag,sales_lag_1,sales_lag_3,sales_lag_7,sales_30d_avg,sales_30d_trend,month
2023-11-11,0,0,220,0,55,49.85714285714285,5,1,0,2,0.12,67,0,45.0,46.0,45.0,51.93333333333333,2.076190476190483,11
2023-11-12,0,0,200,0,54,51.285714285714285,6,1,0,2,0.2,63,0,55.0,46.0,61.0,52.13333333333333,0.8476190476190482,11
2023-11-13,0,0,200,0,48,50.285714285714285,0,0,0,2,0.2,50,0,54.0,45.0,51.0,52.43333333333333,2.1476190476190453,11
2023-11-14,0,0,250,0,50,49.85714285714285,1,0,0,2,0.0,54,0,48.0,55.0,55.0,52.166666666666664,2.3095238095238173,11
2023-11-15,0,0,220,0,51,49.142857142857146,2,0,0,2,0.12,53,0,50.0,54.0,46.0,52.03333333333333,2.8904761904761855,11
2023-11-16,0,0,220,0,52,49.85714285714285,3,0,0,2,0.12,57,0,51.0,48.0,46.0,52.03333333333333,2.1761904761904844,11
2023-11-17,0,0,250,0,48,50.71428571428572,4,0,0,2,0.0,60,0,52.0,50.0,45.0,51.93333333333333,1.2190476190476076,11
2023-11-18,0,0,220,0,54,51.142857142857146,5,1,0,2,0.12,63,0,48.0,51.0,55.0,51.46666666666667,0.32380952380952266,11
2023-11-19,0,0,250,0,51,51.0,6,1,0,2,0.0,69,0,54.0,52.0,54.0,51.733333333333334,0.7333333333333343,11
2023-11-20,0,0,220,0,52,50.57142857142857,0,0,0,2,0.12,59,0,51.0,48.0,48.0,51.63333333333333,1.0619047619047635,11
2023-11-21,0,0,200,0,46,51.142857142857146,1,0,0,2,0.2,63,0,52.0,54.0,50.0,51.666666666666664,0.5238095238095184,11
2023-11-22,0,0,250,0,49,50.57142857142857,2,0,0,2,0.0,51,0,46.0,51.0,51.0,51.1,0.528571428571432,11
2023-11-23,0,0,250,0,50,50.285714285714285,3,0,0,2,0.0,66,0,49.0,52.0,52.0,50.96666666666667,0.6809523809523839,11
2023-11-24,0,0,200,0,48,50.0,4,0,0,2,0.2,55,0,50.0,46.0,48.0,50.86666666666667,0.8666666666666671,11
2023-11-25,0,0,250,0,55,50.0,5,1,0,2,0.0,64,0,48.0,49.0,54.0,50.8,0.7999999999999972,11
2023-11-26,0,0,220,0,52,50.142857142857146,6,1,0,2,0.12,53,0,55.0,50.0,51.0,50.96666666666667,0.8238095238095227,11
2023-11-27,0,0,200,1,61,50.285714285714285,0,0,0,2,0.2,72,0,52.0,48.0,52.0,51.13333333333333,0.8476190476190482,11
2023-11-28,0,0,250,0,53,51.57142857142857,1,0,0,2,0.0,58,0,61.0,55.0,46.0,51.5,-0.0714285714285694,11
2023-11-29,0,0,220,0,46,52.57142857142857,2,0,0,2,0.12,47,0,53.0,52.0,49.0,51.56666666666667,-1.0047619047618994,11
2023-11-30,0,0,200,1,55,52.142857142857146,3,0,0,2,0.2,57,0,46.0,61.0,50.0,50.93333333333333,-1.2095238095238159,11
2023-12-01,0,0,220,0,52,52.85714285714285,4,0,0,2,0.12,68,0,55.0,53.0,48.0,51.233333333333334,-1.6238095238095127,12
2023-12-02,0,0,220,1,57,53.42857142857143,5,1,0,2,0.12,63,0,52.0,46.0,55.0,51.3,-2.1285714285714334,12
2023-12-03,0,0,200,0,51,53.71428571428572,6,1,0,2,0.2,55,0,57.0,55.0,52.0,51.2,-2.5142857142857196,12
2023-12-04,0,0,200,0,47,53.57142857142857,0,0,0,2,0.2,47,1,51.0,52.0,61.0,51.3,-2.2714285714285722,12
2023-12-05,0,0,250,0,52,51.57142857142857,1,0,0,2,0.0,59,0,47.0,57.0,53.0,51.36666666666667,-0.20476190476190226,12
2023-12-06,0,0,200,1,56,51.42857142857143,2,0,0,2,0.2,67,0,52.0,51.0,46.0,51.06666666666667,-0.3619047619047606,12
2023-12-07,0,0,220,0,53,52.85714285714285,3,0,0,2,0.12,66,0,56.0,47.0,55.0,51.233333333333334,-1.6238095238095127,12
2023-12-08,0,0,250,0,53,52.57142857142857,4,0,0,2,0.0,68,0,53.0,52.0,52.0,51.166666666666664,-1.404761904761905,12
2023-12-09,0,0,220,0,55,52.71428571428572,5,1,0,2,0.12,64,0,53.0,56.0,57.0,51.4,-1.3142857142857238,12
2023-12-10,0,0,200,0,49,52.42857142857143,6,1,0,2,0.2,63,0,55.0,53.0,51.0,51.7,-0.7285714285714278,12
2023-12-11,0,0,220,0,54,52.142857142857146,0,0,0,2,0.12,68,0,49.0,53.0,47.0,51.833333333333336,-0.3095238095238102,12
2023-12-12,0,0,250,0,47,53.142857142857146,1,0,0,2,0.0,56,0,54.0,55.0,52.0,51.8,-1.3428571428571487,12
2023-12-13,0,0,250,1,65,52.42857142857143,2,0,0,2,0.0,71,0,47.0,49.0,56.0,51.56666666666667,-0.8619047619047606,12
2023-12-14,0,0,250,0,53,53.71428571428572,3,0,0,2,0.0,55,0,65.0,54.0,53.0,52.13333333333333,-1.5809523809523895,12
2023-12-15,0,0,200,0,54,53.71428571428572,4,0,0,2,0.2,55,0,53.0,47.0,53.0,52.233333333333334,-1.4809523809523881,12
2023-12-16,0,0,200,1,65,53.85714285714285,5,1,0,2,0.2,70,0,54.0,65.0,55.0,52.333333333333336,-1.5238095238095113,12
2023-12-17,0,0,220,0,51,55.285714285714285,6,1,1,2,0.12,59,0,65.0,53.0,49.0,52.766666666666666,-2.519047619047619,12
2023-12-18,0,0,200,0,52,55.57142857142857,0,0,0,2,0.2,61,0,51.0,54.0,54.0,52.86666666666667,-2.7047619047619023,12
2023-12-19,0,0,220,0,46,55.285714285714285,1,0,0,2,0.12,49,0,52.0,65.0,47.0,52.8,-2.4857142857142875,12
2023-12-20,0,0,200,0,47,55.142857142857146,2,0,1,2,0.2,49,0,46.0,51.0,65.0,52.63333333333333,-2.509523809523813,12
2023-12-21,0,0,220,0,51,52.57142857142857,3,0,0,2,0.12,59,0,47.0,52.0,53.0,52.46666666666667,-0.10476190476190084,12
2023-12-22,0,0,220,0,45,52.285714285714285,4,0,0,2,0.12,61,0,51.0,46.0,54.0,52.63333333333333,0.34761904761904816,12
2023-12-23,0,0,200,1,61,51.0,5,1,0,2,0.2,74,0,45.0,47.0,65.0,52.5,1.5,12
2023-12-24,0,0,200,1,62,50.42857142857143,6,1,0,2,0.2,71,0,61.0,51.0,51.0,52.86666666666667,2.4380952380952365,12
2023-12-25,0,0,220,0,46,52.0,0,0,0,2,0.12,58,0,62.0,45.0,52.0,53.333333333333336,1.3333333333333357,12
2023-12-26,0,0,220,0,52,51.142857142857146,1,0,0,2,0.12,63,0,46.0,61.0,46.0,53.03333333333333,1.8904761904761855,12
2023-12-27,0,0,250,0,50,52.0,2,0,0,2,0.0,50,1,52.0,62.0,47.0,53.03333333333333,1.0333333333333314,12
2023-12-28,0,0,200,1,57,52.42857142857143,3,0,0,2,0.2,75,0,50.0,46.0,51.0,52.666666666666664,0.2380952380952337,12
2023-12-29,0,0,200,0,54,53.285714285714285,4,0,0,2,0.2,72,0,57.0,52.0,45.0,52.8,-0.48571428571428754,12
2023-12-30,0,0,250,0,51,54.57142857142857,5,1,0,2,0.0,56,0,54.0,50.0,61.0,53.06666666666667,-1.5047619047618994,12
2023-12-31,0,0,220,0,52,53.142857142857146,6,1,0,2,0.12,64,0,51.0,57.0,62.0,52.93333333333333,-0.20952380952381588,12
2024-01-01,0,0,220,1,55,51.71428571428572,0,0,0,2,0.12,73,0,52.0,54.0,46.0,52.93333333333333,1.2190476190476076,1
2024-01-02,0,0,200,0,55,53.0,1,0,0,2,0.2,67,0,55.0,51.0,52.0,52.86666666666667,-0.13333333333333286,1
2024-01-03,0,0,250,0,51,53.42857142857143,2,0,1,2,0.0,54,0,55.0,52.0,50.0,53.0,-0.4285714285714306,1
2024-01-04,0,0,200,1,62,53.57142857142857,3,0,0,2,0.2,63,0,51.0,55.0,57.0,53.13333333333333,-0.43809523809523654,1
2024-01-05,0,0,220,0,47,54.285714285714285,4,0,0,2,0.12,61,0,62.0,55.0,54.0,53.46666666666667,-0.8190476190476161,1
2024-01-06,0,0,220,0,51,53.285714285714285,5,1,0,2,0.12,62,0,47.0,51.0,51.0,53.166666666666664,-0.1190476190476204,1
2024-01-07,0,0,200,0,53,53.285714285714285,6,1,0,2,0.2,59,0,51.0,62.0,52.0,53.1,-0.18571428571428328,1
2024-01-08,0,0,220,1,60,53.42857142857143,0,0,0,2,0.12,79,0,53.0,47.0,55.0,53.1,-0.3285714285714292,1
2024-01-09,0,0,220,0,50,54.142857142857146,1,0,1,2,0.12,67,0,60.0,51.0,55.0,53.266666666666666,-0.8761904761904802,1
2024-01-10,0,0,220,0,50,53.42857142857143,2,0,0,2,0.12,62,0,50.0,53.0,51.0,53.3,-0.12857142857143344,1
2024-01-11,0,0,200,1,61,53.285714285714285,3,0,0,2,0.2,77,0,50.0,60.0,62.0,53.166666666666664,-0.1190476190476204,1
2024-01-12,0,0,220,0,47,53.142857142857146,4,0,0,2,0.12,50,0,61.0,50.0,47.0,53.63333333333333,0.49047619047618696,1
2024-01-13,0,0,250,0,52,53.142857142857146,5,1,0,2,0.0,65,0,47.0,50.0,51.0,53.03333333333333,-0.10952380952381446,1
2024-01-14,0,0,250,0,47,53.285714285714285,6,1,0,2,0.0,66,0,52.0,61.0,53.0,53.0,-0.2857142857142847,1
2024-01-15,0,0,220,1,62,52.42857142857143,0,0,0,2,0.12,74,0,47.0,47.0,60.0,52.766666666666666,0.3380952380952351,1
2024-01-16,0,0,220,0,47,52.71428571428572,1,0,0,2,0.12,49,0,62.0,52.0,50.0,52.666666666666664,-0.04761904761905811,1
2024-01-17,0,0,250,0,46,52.285714285714285,2,0,0,2,0.0,63,0,47.0,47.0,50.0,52.53333333333333,0.24761904761904674,1
2024-01-18,0,0,220,0,45,51.71428571428572,3,0,0,2,0.12,58,0,46.0,62.0,61.0,52.333333333333336,0.6190476190476133,1
2024-01-19,0,0,250,0,54,49.42857142857143,4,0,0,2,0.0,68,0,45.0,47.0,47.0,52.3,2.8714285714285666,1
2024-01-20,0,0,200,0,48,50.42857142857143,5,1,0,2,0.2,50,0,54.0,46.0,52.0,52.53333333333333,2.104761904761901,1
2024-01-21,0,0,220,0,49,49.85714285714285,6,1,0,2,0.12,49,1,48.0,45.0,47.0,52.43333333333333,2.576190476190483,1
2024-01-22,0,0,220,0,46,50.142857142857146,0,0,0,2,0.12,62,0,49.0,54.0,62.0,52.56666666666667,2.423809523809524,1
2024-01-23,0,0,220,0,48,47.85714285714285,1,0,0,2,0.12,50,0,46.0,48.0,47.0,52.06666666666667,4.209523809523823,1
2024-01-24,0,0,250,0,51,48.0,2,0,1,2,0.0,64,0,48.0,49.0,46.0,51.6,3.6000000000000014,1
2024-01-25,0,0,200,0,45,48.71428571428572,3,0,0,2,0.2,47,0,51.0,46.0,45.0,51.766666666666666,3.0523809523809433,1
2024-01-26,0,0,250,1,63,48.71428571428572,4,0,1,2,0.0,75,0,45.0,48.0,54.0,51.53333333333333,2.819047619047609,1
2024-01-27,0,0,220,1,63,50.0,5,1,0,2,0.12,77,0,63.0,51.0,48.0,51.96666666666667,1.9666666666666686,1
2024-01-28,0,0,250,0,53,52.142857142857146,6,1,1,2,0.0,70,0,63.0,45.0,49.0,52.166666666666664,0.023809523809518396,1
2024-01-29,0,0,200,0,54,52.71428571428572,0,0,0,2,0.2,67,0,53.0,63.0,46.0,52.13333333333333,-0.5809523809523895,1
2024-01-30,0,0,250,1,56,53.85714285714285,1,0,1,2,0.0,58,0,54.0,63.0,48.0,52.233333333333334,-1.6238095238095127,1
2024-01-31,0,0,250,0,50,55.0,2,0,0,2,0.0,68,0,56.0,53.0,51.0,52.36666666666667,-2.633333333333333,1
2024-02-01,0,0,220,0,48,54.85714285714285,3,0,0,2,0.12,55,0,50.0,54.0,45.0,52.2,-2.657142857142844,2
2024-02-02,0,0,200,0,48,55.285714285714285,4,0,1,2,0.2,51,0,48.0,56.0,63.0,51.96666666666667,-3.319047619047616,2
2024-02-03,0,0,200,1,63,53.142857142857146,5,1,0,2,0.2,66,0,48.0,50.0,63.0,51.86666666666667,-1.2761904761904788,2
2024-02-04,0,0,200,0,52,53.142857142857146,6,1,0,2,0.2,70,0,63.0,48.0,53.0,51.9,-1.2428571428571473,2
2024-02-05,0,0,200,0,45,53.0,0,0,0,2,0.2,55,0,52.0,48.0,54.0,52.06666666666667,-0.93333333333333,2
2024-02-06,0,0,220,0,51,51.71428571428572,1,0,1,2,0.12,51,1,45.0,63.0,56.0,51.86666666666667,0.15238095238094473,2
2024-02-07,0,0,220,1,58,51.0,2,0,0,2,0.12,65,0,51.0,52.0,50.0,51.8,0.7999999999999972,2
2024-02-08,0,0,250,0,52,52.142857142857146,3,0,0,2,0.0,66,0,58.0,45.0,48.0,51.733333333333334,-0.4095238095238116,2
2024-02-09,0,0,250,0,48,52.71428571428572,4,0,0,2,0.0,48,1,52.0,51.0,48.0,51.8,-0.9142857142857252,2
2024-02-10,0,0,220,0,47,52.71428571428572,5,1,0,2,0.12,53,0,48.0,58.0,63.0,51.733333333333334,-0.9809523809523881,2
2024-02-11,0,0,220,0,48,50.42857142857143,6,1,0,2,0.12,67,0,47.0,52.0,52.0,51.266666666666666,0.8380952380952351,2
2024-02-12,0,0,220,0,48,49.85714285714285,0,0,0,2,0.12,67,0,48.0,48.0,45.0,51.3,1.4428571428571502,2
2024-02-13,0,0,220,0,52,50.285714285714285,1,0,0,2,0.12,62,0,48.0,47.0,51.0,51.166666666666664,0.8809523809523796,2
2024-02-14,0,0,250,0,48,50.42857142857143,2,0,1,2,0.0,61,0,52.0,48.0,58.0,51.333333333333336,0.9047619047619051,2
2024-02-15,0,0,250,1,60,49.0,3,0,0,2,0.0,75,0,48.0,48.0,52.0,50.86666666666667,1.8666666666666671,2
2024-02-16,0,0,250,0,55,50.142857142857146,4,0,0,2,0.0,68,0,60.0,52.0,48.0,51.3,1.1571428571428513,2
2024-02-17,0,0,220,0,52,51.142857142857146,5,1,0,2,0.12,63,0,55.0,48.0,47.0,51.6,0.4571428571428555,2
2024-02-18,0,0,200,0,48,51.85714285714285,6,1,0,2,0.2,64,0,52.0,60.0,48.0,51.833333333333336,-0.02380952380951129,2
2024-02-19,0,0,250,0,50,51.85714285714285,0,0,0,2,0.0,63,0,48.0,55.0,48.0,51.63333333333333,-0.22380952380951413,2
2024-02-20,0,0,250,0,49,52.142857142857146,1,0,0,2,0.0,58,0,50.0,52.0,52.0,51.7,-0.44285714285714306,2
2024-02-21,0,0,250,0,48,51.71428571428572,2,0,0,2,0.0,61,0,49.0,48.0,48.0,51.7,-0.014285714285719564,2
2024-02-22,0,0,200,1,56,51.71428571428572,3,0,0,2,0.2,73,0,48.0,50.0,60.0,51.766666666666666,0.05238095238094331,2
2024-02-23,0,0,250,1,61,51.142857142857146,4,0,0,2,0.0,69,0,56.0,49.0,55.0,52.03333333333333,0.8904761904761855,2
2024-02-24,0,0,200,1,57,52.0,5,1,0,2,0.2,73,0,61.0,48.0,52.0,52.36666666666667,0.36666666666666714,2
2024-02-25,0,0,200,0,50,52.71428571428572,6,1,0,2,0.2,55,0,57.0,56.0,48.0,52.766666666666666,0.05238095238094331,2
2024-02-26,0,0,220,0,53,53.0,0,0,0,2,0.12,60,0,50.0,61.0,50.0,52.333333333333336,-0.6666666666666643,2
2024-02-27,0,0,250,0,46,53.42857142857143,1,0,0,2,0.0,58,0,53.0,57.0,49.0,52.0,-1.4285714285714306,2
2024-02-28,0,0,220,0,48,53.0,2,0,0,2,0.12,65,0,46.0,50.0,48.0,51.766666666666666,-1.2333333333333343,2
2024-02-29,0,0,220,0,49,53.0,3,0,0,2,0.12,53,0,48.0,53.0,56.0,51.56666666666667,-1.43333333333333,2
2024-03-01,0,0,200,0,55,52.0,4,0,0,2,0.2,60,0,49.0,46.0,61.0,51.333333333333336,-0.6666666666666643,3
2024-03-02,0,0,220,0,51,51.142857142857146,5,1,0,2,0.12,69,0,55.0,48.0,57.0,51.5,0.3571428571428541,3
2024-03-03,0,0,220,0,54,50.285714285714285,6,1,0,2,0.12,57,0,51.0,49.0,50.0,51.6,1.3142857142857167,3
2024-03-04,0,0,220,0,45,50.85714285714285,0,0,0,2,0.12,51,0,54.0,55.0,53.0,51.8,0.9428571428571502,3
2024-03-05,0,0,220,0,48,49.71428571428572,1,0,0,2,0.12,51,0,45.0,51.0,46.0,51.2,1.4857142857142804,3
2024-03-06,0,0,200,0,51,50.0,2,0,0,2,0.2,61,0,48.0,54.0,48.0,51.06666666666667,1.06666666666667,3
2024-03-07,0,0,250,0,47,50.42857142857143,3,0,0,2,0.0,58,0,51.0,45.0,49.0,51.266666666666666,0.8380952380952351,3
2024-03-08,0,0,200,0,48,50.142857142857146,4,0,0,2,0.2,61,0,47.0,48.0,55.0,51.13333333333333,0.990476190476187,3
2024-03-09,0,0,250,0,55,49.142857142857146,5,1,0,2,0.0,67,0,48.0,51.0,51.0,50.8,1.6571428571428513,3
2024-03-10,0,0,220,0,50,49.71428571428572,6,1,0,2,0.12,59,0,55.0,47.0,54.0,50.9,1.1857142857142762,3
2024-03-11,0,0,200,0,49,49.142857142857146,0,0,0,2,0.2,66,0,50.0,48.0,45.0,50.96666666666667,1.8238095238095227,3
2024-03-12,0,0,200,0,52,49.71428571428572,1,0,0,2,0.2,67,0,49.0,55.0,48.0,51.03333333333333,1.319047619047609,3
2024-03-13,0,0,250,0,50,50.285714285714285,2,0,0,2,0.0,54,0,52.0,50.0,51.0,51.166666666666664,0.8809523809523796,3
2024-03-14,0,0,220,1,56,50.142857142857146,3,0,0,2,0.12,63,0,50.0,49.0,47.0,51.233333333333334,1.0904761904761884,3
2024-03-15,0,0,250,0,52,51.42857142857143,4,0,0,2,0.0,65,0,56.0,52.0,48.0,51.36666666666667,-0.06190476190476346,3
2024-03-16,0,0,200,1,61,52.0,5,1,0,2,0.2,65,0,52.0,50.0,55.0,51.5,-0.5,3
2024-03-17,0,0,220,0,45,52.85714285714285,6,1,0,2,0.12,52,0,61.0,56.0,50.0,51.53333333333333,-1.3238095238095156,3
2024-03-18,0,0,220,0,52,52.142857142857146,0,0,0,2,0.12,57,0,45.0,52.0,49.0,51.2,-0.9428571428571431,3
2024-03-19,0,0,220,0,52,52.57142857142857,1,0,0,2,0.12,67,0,52.0,61.0,52.0,51.2,-1.3714285714285666,3
2024-03-20,0,0,200,0,47,52.57142857142857,2,0,0,2,0.2,50,0,52.0,45.0,50.0,51.333333333333336,-1.2380952380952337,3
2024-03-21,0,0,250,0,54,52.142857142857146,3,0,0,2,0.0,65,0,47.0,52.0,56.0,51.233333333333334,-0.9095238095238116,3
2024-03-22,0,0,250,0,47,51.85714285714285,4,0,0,2,0.0,57,0,54.0,52.0,52.0,51.4,-0.4571428571428484,3
2024-03-23,0,0,220,1,57,51.142857142857146,5,1,0,2,0.12,59,0,47.0,47.0,61.0,51.36666666666667,0.22380952380952124,3
2024-03-24,0,0,250,0,55,50.57142857142857,6,1,0,2,0.0,66,0,57.0,54.0,45.0,51.4,0.8285714285714292,3
2024-03-25,0,0,200,1,56,52.0,0,0,0,2,0.2,60,0,55.0,47.0,52.0,51.2,-0.7999999999999972,3
2024-03-26,0,0,220,0,47,52.57142857142857,1,0,0,2,0.12,52,0,56.0,57.0,52.0,51.166666666666664,-1.404761904761905,3
2024-03-27,0,0,250,1,65,51.85714285714285,2,0,0,2,0.0,83,0,47.0,55.0,47.0,51.06666666666667,-0.790476190476177,3
2024-03-28,0,0,250,0,47,54.42857142857143,3,0,0,2,0.0,64,0,65.0,56.0,54.0,51.46666666666667,-2.961904761904762,3
2024-03-29,0,0,250,1,56,53.42857142857143,4,0,0,2,0.0,71,0,47.0,47.0,47.0,51.5,-1.9285714285714306,3
2024-03-30,0,0,220,0,55,54.71428571428572,5,1,0,2,0.12,65,0,56.0,65.0,57.0,51.766666666666666,-2.9476190476190567,3
2024-03-31,0,0,200,1,61,54.42857142857143,6,1,0,2,0.2,65,0,55.0,47.0,55.0,51.96666666666667,-2.461904761904762,3
2024-04-01,0,0,200,0,45,55.285714285714285,0,0,0,2,0.2,53,0,61.0,56.0,56.0,52.166666666666664,-3.1190476190476204,4
2024-04-02,0,0,200,0,48,53.71428571428572,1,0,1,2,0.2,50,0,45.0,55.0,47.0,51.96666666666667,-1.7476190476190538,4
2024-04-03,0,0,250,1,56,53.85714285714285,2,0,0,2,0.0,63,0,48.0,61.0,65.0,51.766666666666666,-2.0904761904761813,4
2024-04-04,0,0,250,1,62,52.57142857142857,3,0,0,2,0.0,67,0,56.0,45.0,47.0,52.13333333333333,-0.43809523809523654,4
2024-04-05,0,0,200,0,48,54.71428571428572,4,0,1,2,0.2,51,0,62.0,48.0,56.0,52.6,-2.114285714285721,4
2024-04-06,0,0,250,1,62,53.57142857142857,5,1,0,2,0.0,73,0,48.0,56.0,55.0,52.5,-1.0714285714285694,4
2024-04-07,0,0,200,0,45,54.57142857142857,6,1,0,2,0.2,56,0,62.0,62.0,61.0,53.0,-1.5714285714285694,4
2024-04-08,0,0,200,0,49,52.285714285714285,0,0,0,2,0.2,64,0,45.0,48.0,45.0,52.9,0.6142857142857139,4
2024-04-09,0,0,200,0,51,52.85714285714285,1,0,0,2,0.2,60,0,49.0,62.0,48.0,52.7,-0.15714285714284415,4
2024-04-10,0,0,200,0,45,53.285714285714285,2,0,0,2,0.2,58,0,51.0,45.0,56.0,52.733333333333334,-0.5523809523809504,4
2024-04-11,0,0,220,0,48,51.71428571428572,3,0,0,2,0.12,60,0,45.0,49.0,62.0,52.6,0.885714285714279,4
2024-04-12,0,0,200,1,63,49.71428571428572,4,0,0,2,0.2,71,0,48.0,51.0,48.0,52.46666666666667,2.752380952380946,4
2024-04-13,0,0,220,0,46,51.85714285714285,5,1,0,2,0.12,52,0,63.0,45.0,62.0,52.9,1.0428571428571516,4
