,date,item,category,price,promotion,units_sold,sales_7d_avg,day_of_week,is_weekend,is_holiday,brand,discount,stock_available,stockout_flag
116,2023-11-08,Diaper,Baby Care,250,0,46,52.857142857142854,Wednesday,0,0,Pampers,0.0,60,0
119,2023-11-09,Diaper,Baby Care,200,0,46,52.285714285714285,Thursday,0,0,Pampers,0.2,47,0
122,2023-11-10,Diaper,Baby Care,250,0,45,50.285714285714285,Friday,0,0,Pampers,0.0,55,0
125,2023-11-11,Diaper,Baby Care,220,0,55,49.857142857142854,Saturday,1,0,Pampers,0.12,67,0
128,2023-11-12,Diaper,Baby Care,200,0,54,51.285714285714285,Sunday,1,0,Pampers,0.2,63,0
131,2023-11-13,Diaper,Baby Care,200,0,48,50.285714285714285,Monday,0,0,Pampers,0.2,50,0
134,2023-11-14,Diaper,Baby Care,250,0,50,49.857142857142854,Tuesday,0,0,Pampers,0.0,54,0
137,2023-11-15,Diaper,Baby Care,220,0,51,49.142857142857146,Wednesday,0,0,Pampers,0.12,53,0
140,2023-11-16,Diaper,Baby Care,220,0,52,49.857142857142854,Thursday,0,0,Pampers,0.12,57,0
143,2023-11-17,Diaper,Baby Care,250,0,48,50.714285714285715,Friday,0,0,Pampers,0.0,60,0
146,2023-11-18,Diaper,Baby Care,220,0,54,51.142857142857146,Saturday,1,0,Pampers,0.12,63,0
149,2023-11-19,Diaper,Baby Care,250,0,51,51.0,Sunday,1,0,Pampers,0.0,69,0
152,2023-11-20,Diaper,Baby Care,220,0,52,50.57142857142857,Monday,0,0,Pampers,0.12,59,0
155,2023-11-21,Diaper,Baby Care,200,0,46,51.142857142857146,Tuesday,0,0,Pampers,0.2,63,0
158,2023-11-22,Diaper,Baby Care,250,0,49,50.57142857142857,Wednesday,0,0,Pampers,0.0,51,0
161,2023-11-23,Diaper,Baby Care,250,0,50,50.285714285714285,Thursday,0,0,Pampers,0.0,66,0
164,2023-11-24,Diaper,Baby Care,200,0,48,50.0,Friday,0,0,Pampers,0.2,55,0
167,2023-11-25,Diaper,Baby Care,250,0,55,50.0,Saturday,1,0,Pampers,0.0,64,0
170,2023-11-26,Diaper,Baby Care,220,0,52,50.142857142857146,Sunday,1,0,Pampers,0.12,53,0
173,2023-11-27,Diaper,Baby Care,200,1,61,50.285714285714285,Monday,0,0,Pampers,0.2,72,0
176,2023-11-28,Diaper,Baby Care,250,0,53,51.57142857142857,Tuesday,0,0,Pampers,0.0,58,0
179,2023-11-29,Diaper,Baby Care,220,0,46,52.57142857142857,Wednesday,0,0,Pampers,0.12,47,0
182,2023-11-30,Diaper,Baby Care,200,1,55,52.142857142857146,Thursday,0,0,Pampers,0.2,57,0
185,2023-12-01,Diaper,Baby Care,220,0,52,52.857142857142854,Friday,0,0,Pampers,0.12,68,0
188,2023-12-02,Diaper,Baby Care,220,1,57,53.42857142857143,Saturday,1,0,Pampers,0.12,63,0
191,2023-12-03,Diaper,Baby Care,200,0,51,53.714285714285715,Sunday,1,0,Pampers,0.2,55,0
194,2023-12-04,Diaper,Baby Care,200,0,47,53.57142857142857,Monday,0,0,Pampers,0.2,47,1
197,2023-12-05,Diaper,Baby Care,250,0,52,51.57142857142857,Tuesday,0,0,Pampers,0.0,59,0
200,2023-12-06,Diaper,Baby Care,200,1,56,51.42857142857143,Wednesday,0,0,Pampers,0.2,67,0
203,2023-12-07,Diaper,Baby Care,220,0,53,52.857142857142854,Thursday,0,0,Pampers,0.12,66,0
206,2023-12-08,Diaper,Baby Care,250,0,53,52.57142857142857,Friday,0,0,Pampers,0.0,68,0
209,2023-12-09,Diaper,Baby Care,220,0,55,52.714285714285715,Saturday,1,0,Pampers,0.12,64,0
212,2023-12-10,Diaper,Baby Care,200,0,49,52.42857142857143,Sunday,1,0,Pampers,0.2,63,0
215,2023-12-11,Diaper,Baby Care,220,0,54,52.142857142857146,Monday,0,0,Pampers,0.12,68,0
218,2023-12-12,Diaper,Baby Care,250,0,47,53.142857142857146,Tuesday,0,0,Pampers,0.0,56,0
221,2023-12-13,Diaper,Baby Care,250,1,65,52.42857142857143,Wednesday,0,0,Pampers,0.0,71,0
224,2023-12-14,Diaper,Baby Care,250,0,53,53.714285714285715,Thursday,0,0,Pampers,0.0,55,0
227,2023-12-15,Diaper,Baby Care,200,0,54,53.714285714285715,Friday,0,0,Pampers,0.2,55,0
230,2023-12-16,Diaper,Baby Care,200,1,65,53.857142857142854,Saturday,1,0,Pampers,0.2,70,0
233,2023-12-17,Diaper,Baby Care,220,0,51,55.285714285714285,Sunday,1,1,Pampers,0.12,59,0
236,2023-12-18,Diaper,Baby Care,200,0,52,55.57142857142857,Monday,0,0,Pampers,0.2,61,0
239,2023-12-19,Diaper,Baby Care,220,0,46,55.285714285714285,Tuesday,0,0,Pampers,0.12,49,0
242,2023-12-20,Diaper,Baby Care,200,0,47,55.142857142857146,Wednesday,0,1,Pampers,0.2,49,0
245,2023-12-21,Diaper,Baby Care,220,0,51,52.57142857142857,Thursday,0,0,Pampers,0.12,59,0
248,2023-12-22,Diaper,Baby Care,220,0,45,52.285714285714285,Friday,0,0,Pampers,0.12,61,0
251,2023-12-23,Diaper,Baby Care,200,1,61,51.0,Saturday,1,0,Pampers,0.2,74,0
254,2023-12-24,Diaper,Baby Care,200,1,62,50.42857142857143,Sunday,1,0,Pampers,0.2,71,0
257,2023-12-25,Diaper,Baby Care,220,0,46,52.0,Monday,0,0,Pampers,0.12,58,0
260,2023-12-26,Diaper,Baby Care,220,0,52,51.142857142857146,Tuesday,0,0,Pampers,0.12,63,0
263,2023-12-27,Diaper,Baby Care,250,0,50,52.0,Wednesday,0,0,Pampers,0.0,50,1
266,2023-12-28,Diaper,Baby Care,200,1,57,52.42857142857143,Thursday,0,0,Pampers,0.2,75,0
269,2023-12-29,Diaper,Baby Care,200,0,54,53.285714285714285,Friday,0,0,Pampers,0.2,72,0
272,2023-12-30,Diaper,Baby Care,250,0,51,54.57142857142857,Saturday,1,0,Pampers,0.0,56,0
275,2023-12-31,Diaper,Baby Care,220,0,52,53.142857142857146,Sunday,1,0,Pampers,0.12,64,0
278,2024-01-01,Diaper,Baby Care,220,1,55,51.714285714285715,Monday,0,0,Pampers,0.12,73,0
281,2024-01-02,Diaper,Baby Care,200,0,55,53.0,Tuesday,0,0,Pampers,0.2,67,0
284,2024-01-03,Diaper,Baby Care,250,0,51,53.42857142857143,Wednesday,0,1,Pampers,0.0,54,0
287,2024-01-04,Diaper,Baby Care,200,1,62,53.57142857142857,Thursday,0,0,Pampers,0.2,63,0
290,2024-01-05,Diaper,Baby Care,220,0,47,54.285714285714285,Friday,0,0,Pampers,0.12,61,0
293,2024-01-06,Diaper,Baby Care,220,0,51,53.285714285714285,Saturday,1,0,Pampers,0.12,62,0
296,2024-01-07,Diaper,Baby Care,200,0,53,53.285714285714285,Sunday,1,0,Pampers,0.2,59,0
299,2024-01-08,Diaper,Baby Care,220,1,60,53.42857142857143,Monday,0,0,Pampers,0.12,79,0
302,2024-01-09,Diaper,Baby Care,220,0,50,54.142857142857146,Tuesday,0,1,Pampers,0.12,67,0
305,2024-01-10,Diaper,Baby Care,220,0,50,53.42857142857143,Wednesday,0,0,Pampers,0.12,62,0
308,2024-01-11,Diaper,Baby Care,200,1,61,53.285714285714285,Thursday,0,0,Pampers,0.2,77,0
311,2024-01-12,Diaper,Baby Care,220,0,47,53.142857142857146,Friday,0,0,Pampers,0.12,50,0
314,2024-01-13,Diaper,Baby Care,250,0,52,53.142857142857146,Saturday,1,0,Pampers,0.0,65,0
317,2024-01-14,Diaper,Baby Care,250,0,47,53.285714285714285,Sunday,1,0,Pampers,0.0,66,0
320,2024-01-15,Diaper,Baby Care,220,1,62,52.42857142857143,Monday,0,0,Pampers,0.12,74,0
323,2024-01-16,Diaper,Baby Care,220,0,47,52.714285714285715,Tuesday,0,0,Pampers,0.12,49,0
326,2024-01-17,Diaper,Baby Care,250,0,46,52.285714285714285,Wednesday,0,0,Pampers,0.0,63,0
329,2024-01-18,Diaper,Baby Care,220,0,45,51.714285714285715,Thursday,0,0,Pampers,0.12,58,0
332,2024-01-19,Diaper,Baby Care,250,0,54,49.42857142857143,Friday,0,0,Pampers,0.0,68,0
335,2024-01-20,Diaper,Baby Care,200,0,48,50.42857142857143,Saturday,1,0,Pampers,0.2,50,0
338,2024-01-21,Diaper,Baby Care,220,0,49,49.857142857142854,Sunday,1,0,Pampers,0.12,49,1
341,2024-01-22,Diaper,Baby Care,220,0,46,50.142857142857146,Monday,0,0,Pampers,0.12,62,0
344,2024-01-23,Diaper,Baby Care,220,0,48,47.857142857142854,Tuesday,0,0,Pampers,0.12,50,0
347,2024-01-24,Diaper,Baby Care,250,0,51,48.0,Wednesday,0,1,Pampers,0.0,64,0
350,2024-01-25,Diaper,Baby Care,200,0,45,48.714285714285715,Thursday,0,0,Pampers,0.2,47,0
353,2024-01-26,Diaper,Baby Care,250,1,63,48.714285714285715,Friday,0,1,Pampers,0.0,75,0
356,2024-01-27,Diaper,Baby Care,220,1,63,50.0,Saturday,1,0,Pampers,0.12,77,0
359,2024-01-28,Diaper,Baby Care,250,0,53,52.142857142857146,Sunday,1,1,Pampers,0.0,70,0
362,2024-01-29,Diaper,Baby Care,200,0,54,52.714285714285715,Monday,0,0,Pampers,0.2,67,0
365,2024-01-30,Diaper,Baby Care,250,1,56,53.857142857142854,Tuesday,0,1,Pampers,0.0,58,0
368,2024-01-31,Diaper,Baby Care,250,0,50,55.0,Wednesday,0,0,Pampers,0.0,68,0
371,2024-02-01,Diaper,Baby Care,220,0,48,54.857142857142854,Thursday,0,0,Pampers,0.12,55,0
374,2024-02-02,Diaper,Baby Care,200,0,48,55.285714285714285,Friday,0,1,Pampers,0.2,51,0
377,2024-02-03,Diaper,Baby Care,200,1,63,53.142857142857146,Saturday,1,0,Pampers,0.2,66,0
380,2024-02-04,Diaper,Baby Care,200,0,52,53.142857142857146,Sunday,1,0,Pampers,0.2,70,0
383,2024-02-05,Diaper,Baby Care,200,0,45,53.0,Monday,0,0,Pampers,0.2,55,0
386,2024-02-06,Diaper,Baby Care,220,0,51,51.714285714285715,Tuesday,0,1,Pampers,0.12,51,1
389,2024-02-07,Diaper,Baby Care,220,1,58,51.0,Wednesday,0,0,Pampers,0.12,65,0
392,2024-02-08,Diaper,Baby Care,250,0,52,52.142857142857146,Thursday,0,0,Pampers,0.0,66,0
395,2024-02-09,Diaper,Baby Care,250,0,48,52.714285714285715,Friday,0,0,Pampers,0.0,48,1
398,2024-02-10,Diaper,Baby Care,220,0,47,52.714285714285715,Saturday,1,0,Pampers,0.12,53,0
401,2024-02-11,Diaper,Baby Care,220,0,48,50.42857142857143,Sunday,1,0,Pampers,0.12,67,0
404,2024-02-12,Diaper,Baby Care,220,0,48,49.857142857142854,Monday,0,0,Pampers,0.12,67,0
407,2024-02-13,Diaper,Baby Care,220,0,52,50.285714285714285,Tuesday,0,0,Pampers,0.12,62,0
410,2024-02-14,Diaper,Baby Care,250,0,48,50.42857142857143,Wednesday,0,1,Pampers,0.0,61,0
413,2024-02-15,Diaper,Baby Care,250,1,60,49.0,Thursday,0,0,Pampers,0.0,75,0
416,2024-02-16,Diaper,Baby Care,250,0,55,50.142857142857146,Friday,0,0,Pampers,0.0,68,0
419,2024-02-17,Diaper,Baby Care,220,0,52,51.142857142857146,Saturday,1,0,Pampers,0.12,63,0
422,2024-02-18,Diaper,Baby Care,200,0,48,51.857142857142854,Sunday,1,0,Pampers,0.2,64,0
425,2024-02-19,Diaper,Baby Care,250,0,50,51.857142857142854,Monday,0,0,Pampers,0.0,63,0
428,2024-02-20,Diaper,Baby Care,250,0,49,52.142857142857146,Tuesday,0,0,Pampers,0.0,58,0
431,2024-02-21,Diaper,Baby Care,250,0,48,51.714285714285715,Wednesday,0,0,Pampers,0.0,61,0
434,2024-02-22,Diaper,Baby Care,200,1,56,51.714285714285715,Thursday,0,0,Pampers,0.2,73,0
437,2024-02-23,Diaper,Baby Care,250,1,61,51.142857142857146,Friday,0,0,Pampers,0.0,69,0
440,2024-02-24,Diaper,Baby Care,200,1,57,52.0,Saturday,1,0,Pampers,0.2,73,0
443,2024-02-25,Diaper,Baby Care,200,0,50,52.714285714285715,Sunday,1,0,Pampers,0.2,55,0
446,2024-02-26,Diaper,Baby Care,220,0,53,53.0,Monday,0,0,Pampers,0.12,60,0
449,2024-02-27,Diaper,Baby Care,250,0,46,53.42857142857143,Tuesday,0,0,Pampers,0.0,58,0
452,2024-02-28,Diaper,Baby Care,220,0,48,53.0,Wednesday,0,0,Pampers,0.12,65,0
455,2024-02-29,Diaper,Baby Care,220,0,49,53.0,Thursday,0,0,Pampers,0.12,53,0
458,2024-03-01,Diaper,Baby Care,200,0,55,52.0,Friday,0,0,Pampers,0.2,60,0
461,2024-03-02,Diaper,Baby Care,220,0,51,51.142857142857146,Saturday,1,0,Pampers,0.12,69,0
464,2024-03-03,Diaper,Baby Care,220,0,54,50.285714285714285,Sunday,1,0,Pampers,0.12,57,0
467,2024-03-04,Diaper,Baby Care,220,0,45,50.857142857142854,Monday,0,0,Pampers,0.12,51,0
470,2024-03-05,Diaper,Baby Care,220,0,48,49.714285714285715,Tuesday,0,0,Pampers,0.12,51,0
473,2024-03-06,Diaper,Baby Care,200,0,51,50.0,Wednesday,0,0,Pampers,0.2,61,0
476,2024-03-07,Diaper,Baby Care,250,0,47,50.42857142857143,Thursday,0,0,Pampers,0.0,58,0
479,2024-03-08,Diaper,Baby Care,200,0,48,50.142857142857146,Friday,0,0,Pampers,0.2,61,0
482,2024-03-09,Diaper,Baby Care,250,0,55,49.142857142857146,Saturday,1,0,Pampers,0.0,67,0
485,2024-03-10,Diaper,Baby Care,220,0,50,49.714285714285715,Sunday,1,0,Pampers,0.12,59,0
488,2024-03-11,Diaper,Baby Care,200,0,49,49.142857142857146,Monday,0,0,Pampers,0.2,66,0
491,2024-03-12,Diaper,Baby Care,200,0,52,49.714285714285715,Tuesday,0,0,Pampers,0.2,67,0
494,2024-03-13,Diaper,Baby Care,250,0,50,50.285714285714285,Wednesday,0,0,Pampers,0.0,54,0
497,2024-03-14,Diaper,Baby Care,220,1,56,50.142857142857146,Thursday,0,0,Pampers,0.12,63,0
500,2024-03-15,Diaper,Baby Care,250,0,52,51.42857142857143,Friday,0,0,Pampers,0.0,65,0
503,2024-03-16,Diaper,Baby Care,200,1,61,52.0,Saturday,1,0,Pampers,0.2,65,0
506,2024-03-17,Diaper,Baby Care,220,0,45,52.857142857142854,Sunday,1,0,Pampers,0.12,52,0
509,2024-03-18,Diaper,Baby Care,220,0,52,52.142857142857146,Monday,0,0,Pampers,0.12,57,0
512,2024-03-19,Diaper,Baby Care,220,0,52,52.57142857142857,Tuesday,0,0,Pampers,0.12,67,0
515,2024-03-20,Diaper,Baby Care,200,0,47,52.57142857142857,Wednesday,0,0,Pampers,0.2,50,0
518,2024-03-21,Diaper,Baby Care,250,0,54,52.142857142857146,Thursday,0,0,Pampers,0.0,65,0
521,2024-03-22,Diaper,Baby Care,250,0,47,51.857142857142854,Friday,0,0,Pampers,0.0,57,0
524,2024-03-23,Diaper,Baby Care,220,1,57,51.142857142857146,Saturday,1,0,Pampers,0.12,59,0
527,2024-03-24,Diaper,Baby Care,250,0,55,50.57142857142857,Sunday,1,0,Pampers,0.0,66,0
530,2024-03-25,Diaper,Baby Care,200,1,56,52.0,Monday,0,0,Pampers,0.2,60,0
533,2024-03-26,Diaper,Baby Care,220,0,47,52.57142857142857,Tuesday,0,0,Pampers,0.12,52,0
536,2024-03-27,Diaper,Baby Care,250,1,65,51.857142857142854,Wednesday,0,0,Pampers,0.0,83,0
539,2024-03-28,Diaper,Baby Care,250,0,47,54.42857142857143,Thursday,0,0,Pampers,0.0,64,0
542,2024-03-29,Diaper,Baby Care,250,1,56,53.42857142857143,Friday,0,0,Pampers,0.0,71,0
545,2024-03-30,Diaper,Baby Care,220,0,55,54.714285714285715,Saturday,1,0,Pampers,0.12,65,0
548,2024-03-31,Diaper,Baby Care,200,1,61,54.42857142857143,Sunday,1,0,Pampers,0.2,65,0
551,2024-04-01,Diaper,Baby Care,200,0,45,55.285714285714285,Monday,0,0,Pampers,0.2,53,0
554,2024-04-02,Diaper,Baby Care,200,0,48,53.714285714285715,Tuesday,0,1,Pampers,0.2,50,0
557,2024-04-03,Diaper,Baby Care,250,1,56,53.857142857142854,Wednesday,0,0,Pampers,0.0,63,0
560,2024-04-04,Diaper,Baby Care,250,1,62,52.57142857142857,Thursday,0,0,Pampers,0.0,67,0
563,2024-04-05,Diaper,Baby Care,200,0,48,54.714285714285715,Friday,0,1,Pampers,0.2,51,0
566,2024-04-06,Diaper,Baby Care,250,1,62,53.57142857142857,Saturday,1,0,Pampers,0.0,73,0
569,2024-04-07,Diaper,Baby Care,200,0,45,54.57142857142857,Sunday,1,0,Pampers,0.2,56,0
572,2024-04-08,Diaper,Baby Care,200,0,49,52.285714285714285,Monday,0,0,Pampers,0.2,64,0
575,2024-04-09,Diaper,Baby Care,200,0,51,52.857142857142854,Tuesday,0,0,Pampers,0.2,60,0
578,2024-04-10,Diaper,Baby Care,200,0,45,53.285714285714285,Wednesday,0,0,Pampers,0.2,58,0
581,2024-04-11,Diaper,Baby Care,220,0,48,51.714285714285715,Thursday,0,0,Pampers,0.12,60,0
584,2024-04-12,Diaper,Baby Care,200,1,63,49.714285714285715,Friday,0,0,Pampers,0.2,71,0
587,2024-04-13,Diaper,Baby Care,220,0,46,51.857142857142854,Saturday,1,0,Pampers,0.12,52,0
590,2024-04-14,Diaper,Baby Care,250,0,54,49.57142857142857,Sunday,1,1,Pampers,0.0,65,0
593,2024-04-15,Diaper,Baby Care,250,0,53,50.857142857142854,Monday,0,0,Pampers,0.0,57,0
596,2024-04-16,Diaper,Baby Care,250,0,48,51.42857142857143,Tuesday,0,0,Pampers,0.0,65,0
599,2024-04-17,Diaper,Baby Care,220,0,47,51.0,Wednesday,0,0,Pampers,0.12,50,0
602,2024-04-18,Diaper,Baby Care,200,0,45,51.285714285714285,Thursday,0,0,Pampers,0.2,46,0
605,2024-04-19,Diaper,Baby Care,220,1,65,50.857142857142854,Friday,0,0,Pampers,0.12,67,0
608,2024-04-20,Diaper,Baby Care,250,1,58,51.142857142857146,Saturday,1,1,Pampers,0.0,69,0
611,2024-04-21,Diaper,Baby Care,200,0,46,52.857142857142854,Sunday,1,0,Pampers,0.2,48,0
614,2024-04-22,Diaper,Baby Care,200,0,49,51.714285714285715,Monday,0,0,Pampers,0.2,52,0
617,2024-04-23,Diaper,Baby Care,200,0,46,51.142857142857146,Tuesday,0,0,Pampers,0.2,51,0
620,2024-04-24,Diaper,Baby Care,250,1,65,50.857142857142854,Wednesday,0,0,Pampers,0.0,76,0
623,2024-04-25,Diaper,Baby Care,220,1,55,53.42857142857143,Thursday,0,0,Pampers,0.12,73,0
626,2024-04-26,Diaper,Baby Care,220,0,55,54.857142857142854,Friday,0,0,Pampers,0.12,64,0
629,2024-04-27,Diaper,Baby Care,250,0,47,53.42857142857143,Saturday,1,0,Pampers,0.0,47,1
632,2024-04-28,Diaper,Baby Care,250,0,51,51.857142857142854,Sunday,1,0,Pampers,0.0,67,0
635,2024-04-29,Diaper,Baby Care,250,0,53,52.57142857142857,Monday,0,0,Pampers,0.0,68,0
638,2024-04-30,Diaper,Baby Care,200,0,49,53.142857142857146,Tuesday,0,0,Pampers,0.2,57,0
641,2024-05-01,Diaper,Baby Care,220,0,50,53.57142857142857,Wednesday,0,0,Pampers,0.12,58,0
644,2024-05-02,Diaper,Baby Care,220,0,50,51.42857142857143,Thursday,0,0,Pampers,0.12,58,0
647,2024-05-03,Diaper,Baby Care,200,0,51,50.714285714285715,Friday,0,0,Pampers,0.2,62,0
650,2024-05-04,Diaper,Baby Care,250,0,54,50.142857142857146,Saturday,1,0,Pampers,0.0,62,0
653,2024-05-05,Diaper,Baby Care,250,0,51,51.142857142857146,Sunday,1,1,Pampers,0.0,65,0
656,2024-05-06,Diaper,Baby Care,220,0,46,51.142857142857146,Monday,0,1,Pampers,0.12,47,0
659,2024-05-07,Diaper,Baby Care,250,0,55,50.142857142857146,Tuesday,0,0,Pampers,0.0,65,0
662,2024-05-08,Diaper,Baby Care,200,0,55,51.0,Wednesday,0,0,Pampers,0.2,65,0
665,2024-05-09,Diaper,Baby Care,250,1,63,51.714285714285715,Thursday,0,0,Pampers,0.0,70,0
668,2024-05-10,Diaper,Baby Care,220,0,47,53.57142857142857,Friday,0,0,Pampers,0.12,52,0
671,2024-05-11,Diaper,Baby Care,220,1,55,53.0,Saturday,1,0,Pampers,0.12,74,0
674,2024-05-12,Diaper,Baby Care,200,1,65,53.142857142857146,Sunday,1,0,Pampers,0.2,71,0
677,2024-05-13,Diaper,Baby Care,220,0,54,55.142857142857146,Monday,0,0,Pampers,0.12,56,0
680,2024-05-14,Diaper,Baby Care,200,0,45,56.285714285714285,Tuesday,0,1,Pampers,0.2,52,0
683,2024-05-15,Diaper,Baby Care,200,0,54,54.857142857142854,Wednesday,0,0,Pampers,0.2,71,0
686,2024-05-16,Diaper,Baby Care,200,0,52,54.714285714285715,Thursday,0,0,Pampers,0.2,68,0
689,2024-05-17,Diaper,Baby Care,200,0,52,53.142857142857146,Friday,0,0,Pampers,0.2,62,0
692,2024-05-18,Diaper,Baby Care,220,1,65,53.857142857142854,Saturday,1,0,Pampers,0.12,66,0
695,2024-05-19,Diaper,Baby Care,220,0,53,55.285714285714285,Sunday,1,0,Pampers,0.12,71,0
698,2024-05-20,Diaper,Baby Care,250,0,54,53.57142857142857,Monday,0,0,Pampers,0.0,60,0
701,2024-05-21,Diaper,Baby Care,200,0,55,53.57142857142857,Tuesday,0,0,Pampers,0.2,72,0
704,2024-05-22,Diaper,Baby Care,220,0,55,55.0,Wednesday,0,0,Pampers,0.12,62,0
707,2024-05-23,Diaper,Baby Care,250,0,45,55.142857142857146,Thursday,0,0,Pampers,0.0,58,0
710,2024-05-24,Diaper,Baby Care,200,0,45,54.142857142857146,Friday,0,0,Pampers,0.2,51,0
713,2024-05-25,Diaper,Baby Care,200,0,52,53.142857142857146,Saturday,1,0,Pampers,0.2,55,0
716,2024-05-26,Diaper,Baby Care,250,1,57,51.285714285714285,Sunday,1,0,Pampers,0.0,73,0
719,2024-05-27,Diaper,Baby Care,220,0,48,51.857142857142854,Monday,0,0,Pampers,0.12,52,0
722,2024-05-28,Diaper,Baby Care,250,0,53,51.0,Tuesday,0,0,Pampers,0.0,64,0
725,2024-05-29,Diaper,Baby Care,250,0,47,50.714285714285715,Wednesday,0,0,Pampers,0.0,55,0
728,2024-05-30,Diaper,Baby Care,220,0,52,49.57142857142857,Thursday,0,0,Pampers,0.12,71,0
731,2024-05-31,Diaper,Baby Care,250,1,58,50.57142857142857,Friday,0,0,Pampers,0.0,70,0
734,2024-06-01,Diaper,Baby Care,200,0,49,52.42857142857143,Saturday,1,0,Pampers,0.2,66,0
737,2024-06-02,Diaper,Baby Care,200,0,47,52.0,Sunday,1,0,Pampers,0.2,66,0
740,2024-06-03,Diaper,Baby Care,220,0,53,50.57142857142857,Monday,0,0,Pampers,0.12,61,0
743,2024-06-04,Diaper,Baby Care,200,0,55,51.285714285714285,Tuesday,0,0,Pampers,0.2,58,0
746,2024-06-05,Diaper,Baby Care,200,0,48,51.57142857142857,Wednesday,0,0,Pampers,0.2,55,0
749,2024-06-06,Diaper,Baby Care,250,1,62,51.714285714285715,Thursday,0,0,Pampers,0.0,62,1
